    date,close
2020-01-02,48494.8046875
2020-01-03,48758.35546875
2020-01-06,48758.35546875
2020-01-07,49021.921875
2020-01-08,49900.44921875
2020-01-09,51481.8046875
2020-01-10,52272.484375
2020-01-13,52711.74609375
2020-01-14,52711.74609375
2020-01-15,51833.22265625
2020-01-16,53326.7109375
2020-01-17,53853.8359375
2020-01-20,54820.21875
2020-01-21,53941.6875
2020-01-22,54732.359375
2020-01-23,53414.56640625
2020-01-28,51657.5078125
2020-01-29,51921.0546875
2020-01-30,50251.8671875
2020-01-31,49549.04296875
2020-02-03,50251.8671875
2020-02-04,51745.36328125
2020-02-05,52272.484375
2020-02-06,53678.125
2020-02-07,53063.15234375
2020-02-10,52448.18359375
2020-02-11,52623.88671875
2020-02-12,53151.0078125
2020-02-13,53326.7109375
2020-02-14,54293.09375
2020-02-17,54029.53125
2020-02-18,52536.04296875
2020-02-19,52887.453125
2020-02-20,52711.74609375
2020-02-21,52008.9140625
2020-02-24,49900.44921875
2020-02-25,50866.83984375
2020-02-26,49636.8984375
2020-02-27,49109.76953125
2020-02-28,47616.27734375
2020-03-02,48319.09765625
2020-03-03,48670.51171875
2020-03-04,50427.57421875
2020-03-05,50778.98046875
2020-03-06,49636.8984375
2020-03-09,49636.8984375
2020-03-10,47967.6875
2020-03-11,45771.3671875
2020-03-12,45771.3671875
2020-03-13,43882.52734375
2020-03-16,42960.0703125
2020-03-17,41554.4296875
2020-03-18,40060.921875
2020-03-19,37732.82421875
2020-03-20,39885.21484375
2020-03-23,37337.4765625
2020-03-24,41246.9375
2020-03-25,42740.4375
2020-03-26,41993.6875
2020-03-27,42432.94921875
2020-03-30,42347.9921875
2020-03-31,42259.48828125
2020-04-01,40533.7109375
2020-04-02,41418.72265625
2020-04-03,41595.71875
2020-04-06,43100.2578125
2020-04-07,43896.76953125
2020-04-08,43011.7578125
2020-04-09,43454.2578125
2020-04-10,43587.015625
2020-04-13,42746.2421875
2020-04-14,43365.7578125
2020-04-16,43365.7578125
2020-04-17,45489.80078125
2020-04-20,44339.2734375
2020-04-21,43587.015625
2020-04-22,44118.0234375
2020-04-23,44118.0234375
2020-04-24,43675.51171875
2020-04-27,44118.0234375
2020-04-28,44339.2734375
2020-04-29,44250.77734375
2020-05-04,42923.25
2020-05-06,43542.76953125
2020-05-07,43188.75390625
2020-05-08,43188.75390625
2020-05-11,42834.74609375
2020-05-12,42392.23828125
2020-05-13,42967.5
2020-05-14,42480.73828125
2020-05-15,42347.9921875
2020-05-18,43188.75390625
2020-05-19,44516.28125
2020-05-20,44250.77734375
2020-05-21,44206.5234375
2020-05-22,43144.5078125
2020-05-25,43233.0078125
2020-05-26,43587.015625
2020-05-27,44162.265625
2020-05-28,44604.77734375
2020-05-29,44870.28515625
2020-06-01,45312.7890625
2020-06-02,45489.80078125
2020-06-03,48233.34375
2020-06-04,48321.8515625
2020-06-05,49118.3515625
2020-06-08,48587.3515625
2020-06-09,49118.3515625
2020-06-10,49029.8515625
2020-06-11,48056.33203125
2020-06-12,46286.3125
2020-06-15,44162.265625
2020-06-16,46109.3125
2020-06-17,46197.8125
2020-06-18,46286.3125
2020-06-19,46817.3125
2020-06-22,46020.8046875
2020-06-23,45489.80078125
2020-06-24,46817.3125
2020-06-25,45932.30078125
2020-06-26,47171.3203125
2020-06-29,46684.87109375
2020-06-30,47041.24609375
2020-07-01,46863.0625
2020-07-02,47130.3359375
2020-07-03,47753.99609375
2020-07-06,49001.3046875
2020-07-07,47575.8125
2020-07-08,47219.4375
2020-07-09,47041.24609375
2020-07-10,46952.16015625
2020-07-13,47575.8125
2020-07-14,47932.19140625
2020-07-15,48734.015625
2020-07-16,47932.19140625
2020-07-17,48466.73828125
2020-07-20,48288.5625
2020-07-21,49268.57421875
2020-07-22,48734.015625
2020-07-23,48199.44921875
2020-07-24,48288.5625
2020-07-27,49535.859375
2020-07-28,52208.66015625
2020-07-29,52565.03515625
2020-07-30,52565.03515625
2020-07-31,51585.0078125
2020-08-03,50604.98046875
2020-08-04,51050.44921875
2020-08-05,50694.07421875
2020-08-06,51674.08984375
2020-08-07,51228.6328125
2020-08-10,51495.90625
2020-08-11,51852.28515625
2020-08-12,52565.03515625
2020-08-13,52297.74609375
2020-08-14,51674.08984375
2020-08-18,52030.46875
2020-08-19,51495.90625
2020-08-20,49357.66796875
2020-08-21,49803.1328125
2020-08-24,49981.3359375
2020-08-25,50248.60546875
2020-08-26,50248.60546875
2020-08-27,49535.859375
2020-08-28,49357.66796875
2020-08-31,48110.36328125
2020-09-01,48288.5625
2020-09-02,48466.73828125
2020-09-03,50248.60546875
2020-09-04,49535.859375
2020-09-07,50337.70703125
2020-09-08,52297.74609375
2020-09-09,52030.46875
2020-09-10,52743.2109375
2020-09-11,52565.03515625
2020-09-14,53812.3359375
2020-09-15,54346.8984375
2020-09-16,54346.8984375
2020-09-17,53010.5
2020-09-18,52832.3125
2020-09-21,52743.2109375
2020-09-22,51852.28515625
2020-09-23,52208.66015625
2020-09-24,51495.90625
2020-09-25,51585.0078125
2020-09-28,52171.2578125
2020-09-29,52171.2578125
2020-10-05,52619.46484375
2020-10-06,52888.390625
2020-10-07,53695.1640625
2020-10-08,53515.875
2020-10-12,54143.3671875
2020-10-13,54591.57421875
2020-10-14,54591.57421875
2020-10-15,53784.80078125
2020-10-16,53336.59765625
2020-10-19,53784.80078125
2020-10-20,54591.57421875
2020-10-21,54591.57421875
2020-10-22,53874.44921875
2020-10-23,53964.0859375
2020-10-26,54143.3671875
2020-10-27,53605.5234375
2020-10-28,52888.390625
2020-10-29,52081.62109375
2020-10-30,50737.0
2020-11-02,51454.13671875
2020-11-03,52709.10546875
2020-11-04,52440.1875
2020-11-05,54053.71875
2020-11-06,53874.44921875
2020-11-09,53964.0859375
2020-11-10,53964.0859375
2020-11-11,54950.14453125
2020-11-12,54681.22265625
2020-11-13,56653.33203125
2020-11-16,59432.20703125
2020-11-17,58894.3671875
2020-11-18,58087.5859375
2020-11-19,57908.3046875
2020-11-20,57997.94140625
2020-11-23,60507.90625
2020-11-24,60687.1953125
2020-11-25,59701.12890625
2020-11-26,60956.11328125
2020-11-27,61135.390625
2020-11-30,59790.77734375
2020-12-01,60776.828125
2020-12-02,62300.7265625
2020-12-03,62480.01953125
2020-12-04,64093.55859375
2020-12-07,65348.5390625
2020-12-08,64272.84375
2020-12-09,66244.9375
2020-12-10,65348.5390625
2020-12-11,65796.7421875
2020-12-14,66155.296875
2020-12-15,66155.296875
2020-12-16,66155.296875
2020-12-17,65707.0859375
2020-12-18,65438.17578125
2020-12-21,65438.17578125
2020-12-22,64810.68359375
2020-12-23,66244.9375
2020-12-24,69740.9765625
2020-12-28,70547.7265625
2020-12-29,71955.6015625
2020-12-30,74436.8203125
2021-01-04,76274.7734375
2021-01-05,77101.84375
2021-01-06,75539.6015625
2021-01-07,76182.890625
2021-01-08,81604.8359375
2021-01-11,83626.5703125
2021-01-12,83258.96875
2021-01-13,82431.8984375
2021-01-14,82431.8984375
2021-01-15,80869.6484375
2021-01-18,78112.7421875
2021-01-19,79950.671875
2021-01-20,80134.4765625
2021-01-21,80961.5390625
2021-01-22,79766.8671875
2021-01-25,82156.1953125
2021-01-26,79674.984375
2021-01-27,78664.109375
2021-01-28,76918.0703125
2021-01-29,75355.7890625
2021-02-01,76274.7734375
2021-02-02,77561.3515625
2021-02-03,77745.140625
2021-02-04,75815.2890625
2021-02-05,76734.2734375
2021-02-08,76274.7734375
2021-02-09,75999.0859375
2021-02-10,74988.203125
2021-02-15,77377.5546875
2021-02-16,78020.828125
2021-02-17,76458.578125
2021-02-18,75447.703125
2021-02-19,75907.1875
2021-02-22,75539.6015625
2021-02-23,75355.7890625
2021-02-24,75355.7890625
2021-02-25,78388.421875
2021-02-26,75815.2890625
2021-03-02,76826.1484375
2021-03-03,77193.734375
2021-03-04,75723.4140625
2021-03-05,75447.703125
2021-03-08,75355.7890625
2021-03-09,74804.4140625
2021-03-10,74344.9375
2021-03-11,75355.7890625
2021-03-12,76090.9765625
2021-03-15,75172.0
2021-03-16,76090.9765625
2021-03-17,75631.4921875
2021-03-18,76182.890625
2021-03-19,75263.9140625
2021-03-22,75355.7890625
2021-03-23,75172.0
2021-03-24,74436.8203125
2021-03-25,74620.6328125
2021-03-26,74896.328125
2021-03-29,74988.203125
2021-03-30,75875.265625
2021-03-31,75136.8203125
2021-04-01,76521.421875
2021-04-02,78275.21875
2021-04-05,78829.0546875
2021-04-06,79382.8984375
2021-04-07,79013.671875
2021-04-08,78182.90625
2021-04-09,77167.546875
2021-04-12,76798.3203125
2021-04-13,77536.78125
2021-04-14,77536.78125
2021-04-15,77629.0859375
2021-04-16,77444.484375
2021-04-19,76890.640625
2021-04-20,77444.484375
2021-04-21,76244.5
2021-04-22,76059.859375
2021-04-23,76429.109375
2021-04-26,77075.2421875
2021-04-27,76521.421875
2021-04-28,75782.9765625
2021-04-29,75413.7578125
2021-04-30,75229.1328125
2021-05-03,75413.7578125
2021-05-04,76244.5
2021-05-06,75967.5859375
2021-05-07,75598.3515625
2021-05-10,76798.3203125
2021-05-11,74952.2265625
2021-05-12,73844.5546875
2021-05-13,72459.96875
2021-05-14,73936.859375
2021-05-17,73475.3203125
2021-05-18,73475.3203125
2021-05-20,73383.0234375
2021-05-21,73936.859375
2021-05-24,73567.625
2021-05-25,73752.25
2021-05-26,73659.9296875
2021-05-27,73475.3203125
2021-05-28,73936.859375
2021-05-31,74306.0859375
2021-06-01,74398.375
2021-06-02,74582.984375
2021-06-03,76429.109375
2021-06-04,75875.265625
2021-06-07,75598.3515625
2021-06-08,75598.3515625
2021-06-09,74859.9140625
2021-06-10,74767.609375
2021-06-11,74767.609375
2021-06-14,74306.0859375
2021-06-15,74675.3046875
2021-06-16,75506.046875
2021-06-17,74675.3046875
2021-06-18,74306.0859375
2021-06-21,73752.25
2021-06-22,73844.5546875
2021-06-23,73936.859375
2021-06-24,74952.2265625
2021-06-25,75321.4296875
2021-06-28,75598.3515625
2021-06-29,75098.6328125
2021-06-30,74820.4765625
2021-07-01,74264.2109375
2021-07-02,74171.4765625
2021-07-05,74542.34375
2021-07-06,75284.046875
2021-07-07,74913.1953125
2021-07-08,74078.7734375
2021-07-09,73615.2109375
2021-07-12,73893.34375
2021-07-13,73986.0703125
2021-07-14,73707.9140625
2021-07-15,74727.765625
2021-07-16,73986.0703125
2021-07-19,73244.34375
2021-07-20,73244.34375
2021-07-21,72780.765625
2021-07-22,73893.34375
2021-07-23,73522.4921875
2021-07-26,73058.9296875
2021-07-27,72780.765625
2021-07-28,73429.765625
2021-07-29,73244.34375
2021-07-30,72780.765625
2021-08-02,73522.4921875
2021-08-03,75469.484375
2021-08-04,76860.1875
2021-08-05,76118.484375
2021-08-06,75562.1875
2021-08-09,75562.1875
2021-08-10,74356.9140625
2021-08-11,72780.765625
2021-08-12,71390.0546875
2021-08-13,68979.484375
2021-08-17,68794.03125
2021-08-18,68515.9140625
2021-08-19,67774.1953125
2021-08-20,67403.34375
2021-08-23,67959.625
2021-08-24,70092.046875
2021-08-25,70184.7734375
2021-08-26,69164.90625
2021-08-27,68886.7578125
2021-08-30,69164.90625
2021-08-31,71111.8984375
2021-09-01,71204.6328125
2021-09-02,70462.9140625
2021-09-03,71019.1953125
2021-09-06,71668.1875
2021-09-07,70555.625
2021-09-08,70741.0390625
2021-09-09,69813.90625
2021-09-10,69813.90625
2021-09-13,70741.0390625
2021-09-14,71019.1953125
2021-09-15,71390.0546875
2021-09-16,70555.625
2021-09-17,71575.484375
2021-09-23,71760.9140625
2021-09-24,71668.1875
2021-09-27,72039.0625
2021-09-28,70741.0390625
2021-09-29,69027.9296875
2021-09-30,69027.9296875
2021-10-01,68189.5390625
2021-10-05,67257.984375
2021-10-06,66419.578125
2021-10-07,66699.0546875
2021-10-08,66605.8984375
2021-10-12,64277.015625
2021-10-13,64090.71484375
2021-10-14,64649.63671875
2021-10-15,65301.7265625
2021-10-18,65394.88671875
2021-10-19,65767.4921875
2021-10-20,65488.03125
2021-10-21,65394.88671875
2021-10-22,65581.1875
2021-10-25,65394.88671875
2021-10-26,66233.2890625
2021-10-27,65301.7265625
2021-10-28,65860.640625
2021-10-29,65022.26171875
2021-11-01,65115.41796875
2021-11-02,66605.8984375
2021-11-03,65581.1875
2021-11-04,65767.4921875
2021-11-05,65394.88671875
2021-11-08,65767.4921875
2021-11-09,65674.34375
2021-11-10,65394.88671875
2021-11-11,65115.41796875
2021-11-12,65767.4921875
2021-11-15,66512.7421875
2021-11-16,66419.578125
2021-11-17,65860.640625
2021-11-18,65394.88671875
2021-11-19,66326.4375
2021-11-22,69773.171875
2021-11-23,70145.78125
2021-11-24,69680.015625
2021-11-25,68655.296875
2021-11-26,67351.140625
2021-11-29,67351.140625
2021-11-30,66419.578125
2021-12-01,69307.3828125
2021-12-02,70611.5703125
2021-12-03,70425.2734375
2021-12-06,71077.34375
2021-12-07,72102.0546875
2021-12-08,72102.0546875
2021-12-09,72847.28125
2021-12-10,71636.2734375
2021-12-13,71543.109375
2021-12-14,71729.421875
2021-12-15,72288.359375
2021-12-16,72474.671875
2021-12-17,72660.96875
2021-12-20,71822.6015625
2021-12-21,72754.140625
2021-12-22,73965.1484375
2021-12-23,74430.9296875
2021-12-24,74989.8515625
2021-12-27,74710.390625
2021-12-28,74803.5546875
2021-12-29,73737.71875
2021-12-30,73269.828125
2022-01-04,73644.1484375
2022-01-05,72427.65625
2022-01-06,71959.765625
2022-01-07,73269.828125
2022-01-10,72989.1015625
2022-01-11,73831.2890625
2022-01-12,73831.2890625
2022-01-13,72895.5390625
2022-01-14,72334.0703125
2022-01-17,72521.2265625
2022-01-18,72053.3515625
2022-01-19,71398.3203125
2022-01-20,71585.4765625
2022-01-21,70743.3125
2022-01-24,70275.40625
2022-01-25,69246.0703125
2022-01-26,69246.0703125
2022-01-27,66719.53125
2022-01-28,68591.0546875
2022-02-03,68591.0546875
2022-02-04,69246.0703125
2022-02-07,68310.3125
2022-02-08,68310.3125
2022-02-09,68310.3125
2022-02-10,70556.140625
2022-02-11,70088.2578125
2022-02-14,68965.34375
2022-02-15,68965.34375
2022-02-16,69994.6796875
2022-02-17,70181.828125
2022-02-18,69526.796875
2022-02-21,69526.796875
2022-02-22,69526.796875
2022-02-23,69526.796875
2022-02-24,66906.6796875
2022-02-25,67280.9921875
2022-02-28,67280.9921875
2022-03-02,67093.8359375
2022-03-03,68216.7421875
2022-03-04,68216.7421875
2022-03-07,65596.609375
2022-03-08,65035.1796875
2022-03-10,65035.1796875
2022-03-11,65503.046875
2022-03-14,65690.1953125
2022-03-15,65690.1953125
2022-03-16,65877.34375
2022-03-17,65877.34375
2022-03-18,66158.0625
2022-03-21,65409.46484375
2022-03-22,65783.7734375
2022-03-23,65970.9140625
2022-03-24,65315.89453125
2022-03-25,65315.89453125
2022-03-28,65222.30859375
2022-03-29,65690.1953125
2022-03-30,65747.5703125
2022-03-31,65465.39453125
2022-04-01,64995.09375
2022-04-04,65183.20703125
2022-04-05,65089.15625
2022-04-06,64430.7421875
2022-04-07,63960.44921875
2022-04-08,63772.328125
2022-04-11,63866.3828125
2022-04-12,63019.859375
2022-04-13,64618.8515625
2022-04-14,63490.1484375
2022-04-15,62643.60546875
2022-04-18,62737.6640625
2022-04-19,63302.03515625
2022-04-20,63396.08984375
2022-04-21,63678.2578125
2022-04-22,63019.859375
2022-04-25,62361.43359375
2022-04-26,62173.31640625
2022-04-27,61138.65234375
2022-04-28,60950.5390625
2022-04-29,63396.08984375
2022-05-02,63302.03515625
2022-05-03,63490.1484375
2022-05-04,63866.3828125
2022-05-06,62549.546875
2022-05-10,61797.078125
2022-05-11,61797.078125
2022-05-12,61044.59765625
2022-05-13,62549.546875
2022-05-16,62361.43359375
2022-05-17,63584.20703125
2022-05-18,64054.4921875
2022-05-19,63490.1484375
2022-05-20,63960.44921875
2022-05-23,63866.3828125
2022-05-24,62549.546875
2022-05-25,62455.48828125
2022-05-26,61985.1953125
2022-05-27,62549.546875
2022-05-30,63678.2578125
2022-05-31,63396.08984375
2022-06-02,62737.6640625
2022-06-03,62831.734375
2022-06-07,61608.953125
2022-06-08,61420.83984375
2022-06-09,61326.78125
2022-06-10,60009.94921875
2022-06-13,58410.9296875
2022-06-14,58222.8203125
2022-06-15,57094.09765625
2022-06-16,57282.21875
2022-06-17,56247.56640625
2022-06-20,55212.9140625
2022-06-21,55024.79296875
2022-06-22,54178.25390625
2022-06-23,53990.13671875
2022-06-24,54930.73828125
2022-06-27,55306.96875
